city,country,time_of_measurement,temperature,pressure,humidity,wind_speed,weather_naming,timestamp_request
Hamburg,Germany,1688626742,19.8,1018.1,48,90.8,Light rain,1688626744
Hamburg,Germany,1688626744,25.8,1019.5,46,45.1,Partly cloudy,1688626750
Hamburg,Germany,1688626746,27.7,1095.5,42,48.3,Cloudy,1688626750
Hamburg,Germany,1688626748,28.4,1081.6,54,13.9,Sunny,1688626758
Hamburg,Germany,1688626750,22.5,1078.5,51,82.4,Partly cloudy,1688626751
Hamburg,Germany,1688626752,12.9,1077.0,56,34.6,Sunny,1688626759
Hamburg,Germany,1688626754,21.4,1040.1,56,49.9,Light rain,1688626758
Hamburg,Germany,1688626756,15.0,1093.7,55,32.5,Light rain,1688626758
Hamburg,Germany,1688626758,11.0,1086.2,54,60.8,Rainy,1688626767
Hamburg,Germany,1688626760,17.2,1084.9,52,24.9,Rainy,1688626766
Hamburg,Germany,1688626762,24.1,1073.0,60,32.8,Light rain,1688626763
Hamburg,Germany,1688626764,10.5,1052.6,44,50.8,Cloudy,1688626767
Hamburg,Germany,1688626766,14.3,1077.5,41,68.9,Rainy,1688626775
Hamburg,Germany,1688626768,27.8,1078.3,55,16.6,Light rain,1688626776
Hamburg,Germany,1688626770,17.6,1061.2,43,26.2,Rainy,1688626775
Hamburg,Germany,1688626772,11.1,1089.8,55,85.1,Rainy,1688626779
Hamburg,Germany,1688626774,14.7,1085.8,58,43.7,Cloudy,1688626778
Hamburg,Germany,1688626776,25.6,1035.3,44,57.4,Rainy,1688626785
Hamburg,Germany,1688626778,20.5,1057.7,42,15.8,Partly cloudy,1688626785
Hamburg,Germany,1688626780,25.2,1080.4,54,32.4,Partly cloudy,1688626790
Hamburg,Germany,1688626782,18.6,1043.4,52,93.6,Cloudy,1688626788
Hamburg,Germany,1688626784,11.1,1071.3,58,21.7,Partly cloudy,1688626788
Hamburg,Germany,1688626786,10.1,1086.2,45,90.3,Light rain,1688626792
Hamburg,Germany,1688626788,12.3,1028.8,60,16.6,Rainy,1688626790
Hamburg,Germany,1688626790,23.1,1036.8,60,61.2,Light rain,1688626797
Hamburg,Germany,1688626792,16.0,1077.4,51,54.1,Sunny,1688626793
Hamburg,Germany,1688626794,17.9,1052.5,45,74.4,Partly cloudy,1688626796
Hamburg,Germany,1688626796,16.8,1058.7,44,64.6,Light rain,1688626797
Hamburg,Germany,1688626798,11.6,1099.9,55,36.8,Partly cloudy,1688626807
Hamburg,Germany,1688626800,24.6,1049.5,41,68.5,Partly cloudy,1688626802
Hamburg,Germany,1688626802,14.3,1020.8,54,55.7,Partly cloudy,1688626809
Hamburg,Germany,1688626804,29.9,1005.6,55,88.9,Light rain,1688626805
Hamburg,Germany,1688626806,14.5,1040.7,52,96.2,Cloudy,1688626807
Hamburg,Germany,1688626808,15.1,1084.1,52,87.6,Partly cloudy,1688626815
Hamburg,Germany,1688626810,30.0,1042.9,59,54.4,Partly cloudy,1688626818
Hamburg,Germany,1688626812,10.1,1051.3,55,14.5,Rainy,1688626818
Hamburg,Germany,1688626814,17.3,1054.9,49,83.2,Rainy,1688626821
Hamburg,Germany,1688626816,22.3,1001.3,56,13.8,Cloudy,1688626826
Hamburg,Germany,1688626818,12.8,1072.4,58,61.6,Rainy,1688626819
Hamburg,Germany,1688626820,25.5,1081.2,57,39.0,Sunny,1688626822
Hamburg,Germany,1688626822,25.7,1084.2,59,89.9,Rainy,1688626831
Hamburg,Germany,1688626824,29.2,1043.2,55,31.2,Partly cloudy,1688626831
Hamburg,Germany,1688626826,17.7,1018.7,45,71.6,Partly cloudy,1688626835
Hamburg,Germany,1688626828,20.1,1038.2,44,96.2,Sunny,1688626838
Hamburg,Germany,1688626830,29.5,1056.8,41,72.2,Rainy,1688626838
Hamburg,Germany,1688626832,27.9,1053.1,55,65.7,Partly cloudy,1688626838
Hamburg,Germany,1688626834,22.1,1021.7,46,77.5,Cloudy,1688626840
Hamburg,Germany,1688626836,10.5,1001.2,48,12.8,Partly cloudy,1688626844
Hamburg,Germany,1688626838,11.7,1093.2,55,87.8,Cloudy,1688626846
Hamburg,Germany,1688626840,11.2,1090.8,41,39.3,Light rain,1688626850
Hamburg,Germany,1688626842,29.2,1053.7,59,36.6,Cloudy,1688626845
Hamburg,Germany,1688626844,25.8,1018.0,41,22.8,Light rain,1688626851
Hamburg,Germany,1688626846,13.6,1098.6,59,39.3,Cloudy,1688626852
Hamburg,Germany,1688626848,24.8,1074.6,44,16.8,Rainy,1688626856
Hamburg,Germany,1688626850,28.2,1020.0,49,64.3,Rainy,1688626854
Hamburg,Germany,1688626852,12.3,1063.5,48,70.3,Rainy,1688626858
Hamburg,Germany,1688626854,23.0,1014.2,42,53.7,Sunny,1688626861
Hamburg,Germany,1688626856,19.1,1037.5,48,64.9,Rainy,1688626860
Hamburg,Germany,1688626858,11.4,1086.3,52,32.4,Cloudy,1688626866
Hamburg,Germany,1688626860,28.2,1001.1,53,87.5,Partly cloudy,1688626862
Hamburg,Germany,1688626862,15.2,1010.1,47,27.7,Sunny,1688626867
Hamburg,Germany,1688626864,19.8,1077.1,41,77.8,Light rain,1688626866
Hamburg,Germany,1688626866,17.5,1034.4,56,91.7,Rainy,1688626876
Hamburg,Germany,1688626868,10.2,1099.9,52,82.0,Cloudy,1688626878
Hamburg,Germany,1688626870,27.6,1040.1,44,61.3,Cloudy,1688626880
Hamburg,Germany,1688626872,16.8,1009.1,52,85.9,Sunny,1688626877
Hamburg,Germany,1688626874,11.8,1054.9,42,75.5,Cloudy,1688626878
Hamburg,Germany,1688626876,14.1,1044.1,57,54.6,Partly cloudy,1688626884
Hamburg,Germany,1688626878,27.6,1039.9,60,15.5,Cloudy,1688626880
Hamburg,Germany,1688626880,11.2,1019.3,41,17.4,Partly cloudy,1688626884
Hamburg,Germany,1688626882,22.6,1021.3,55,18.3,Rainy,1688626892
Hamburg,Germany,1688626884,20.4,1009.2,57,11.4,Light rain,1688626886
Hamburg,Germany,1688626886,18.6,1072.3,58,35.7,Cloudy,1688626895
Hamburg,Germany,1688626888,14.8,1005.9,53,30.3,Sunny,1688626898
Hamburg,Germany,1688626890,28.9,1029.0,50,12.6,Partly cloudy,1688626892
Hamburg,Germany,1688626892,26.5,1047.7,51,58.3,Partly cloudy,1688626897
Hamburg,Germany,1688626894,16.6,1044.8,54,78.5,Partly cloudy,1688626895
Hamburg,Germany,1688626896,16.7,1068.6,40,53.1,Partly cloudy,1688626902
Hamburg,Germany,1688626898,10.5,1045.8,56,16.7,Cloudy,1688626903
Hamburg,Germany,1688626900,20.9,1036.7,41,84.8,Rainy,1688626902
Hamburg,Germany,1688626902,12.6,1009.2,41,72.3,Partly cloudy,1688626903
Hamburg,Germany,1688626904,29.6,1084.6,40,77.4,Rainy,1688626905
Hamburg,Germany,1688626906,12.6,1020.3,49,43.5,Light rain,1688626915
Hamburg,Germany,1688626908,12.7,1084.0,48,15.3,Cloudy,1688626911
Hamburg,Germany,1688626910,17.6,1042.9,50,92.2,Rainy,1688626911
Hamburg,Germany,1688626912,25.8,1058.6,55,95.6,Rainy,1688626922
